NonlinearOCP1b,3600.30828 seconds,3600.26653 seconds,3600.27425 seconds,3600.12121 seconds,3600.25674 seconds,3600.84091 seconds,3600.01135 seconds,3600.31267 seconds,3600.31799 seconds,3600.25727 seconds,
QuadcopterAD,6388.43046 seconds,3600.16755 seconds,3600.04775 seconds,3600.20596 seconds,3600.24953 seconds,3600.24392 seconds,3600.17028 seconds,3600.03264 seconds,3600.02508 seconds,3600.02866 seconds,
QuadcopterFull,1635.36921 seconds,1564.53394 seconds,1588.52687 seconds,1592.79520 seconds,1637.64647 seconds,1700.72173 seconds,1601.02953 seconds,1424.33175 seconds,1534.25625 seconds,1682.65941 seconds,
HangingChain,3600.12499 seconds,3600.07685 seconds,3600.10472 seconds,3600.04503 seconds,3600.05839 seconds,3600.14229 seconds,3600.04017 seconds,3600.05184 seconds,3600.07847 seconds,3600.00839 seconds,
MultiRTAC, 247.65612 seconds, 229.44297 seconds, 244.69823 seconds, 220.79006 seconds, 238.77368 seconds, 220.53765 seconds, 239.27095 seconds, 220.27396 seconds, 235.16532 seconds, 215.49540 seconds,
Nagumo,3600.15043 seconds,3600.23902 seconds,3600.18391 seconds,3600.09003 seconds,3600.26825 seconds,3600.08213 seconds,3600.16996 seconds,3600.13965 seconds,3600.04354 seconds,3600.15914 seconds,
