NonlinearOCP1b,	87.91,	85.87,	84.26,	69.74,	77.80,	90.18,	88.61,	87.10,	84.82,	80.98,
QuadcopterAD,	89.35,	80.87,	80.91,	80.89,	80.78,	80.99,	81.12,	81.14,	81.08,	81.08,
QuadcopterFull,	87.86,	88.01,	88.16,	87.97,	87.76,	87.27,	88.15,	89.07,	88.21,	87.67,
HangingChain,	87.45,	87.53,	87.60,	87.55,	87.46,	87.68,	87.82,	87.49,	87.66,	87.74,
MultiRTAC,	66.40,	70.19,	66.89,	72.20,	68.14,	72.44,	68.07,	72.36,	68.89,	73.43,
Nagumo,		62.38,	62.57,	62.17,	64.28,	62.53,	62.35,	62.89,	66.46,	62.83,	66.92,

