NonlinearOCP1b,97.57 %,93.18 %,93.29 %,93.36 %,94.18 %,94.19 %,94.22 %,92.90 %,92.57 %,93.44 %,
QuadcopterAD,92.27 %,92.31 %,92.37 %,92.38 %,92.39 %,92.34 %,92.31 %,92.29 %,92.35 %,92.60 %,
QuadcopterFull,93.00 %,93.02 %,92.98 %,93.00 %,93.03 %,93.01 %,93.03 %,93.02 %,93.03 %,93.00 %,
HangingChain,95.34 %,94.87 %,94.15 %,95.45 %,94.98 %,94.40 %,94.14 %,93.90 %,94.35 %,94.19 %,
MultiRTAC,94.05 %,94.01 %,94.14 %,94.04 %,94.03 %,94.01 %,94.03 %,94.07 %,94.06 %,94.03 %,
Nagumo,92.41 %,92.43 %,92.35 %,92.62 %,92.33 %,92.49 %,92.41 %,92.51 %,92.54 %,92.42 %,
